cell,cache_type,rows,embed_dim,dtype,distribution,n_keys,out_shape,bit_exact,mismatches,max_abs_diff,note
67,NoCache,1048576,64,float32,sequential,1024,"(1024, 64)",1,0,0.0,
68,NoCache,1048576,64,float32,hot_repeat,1024,"(1024, 64)",1,0,0.0,
69,NoCache,1048576,64,float32,edges,1024,"(1024, 64)",1,0,0.0,
70,NoCache,1048576,128,float16,uniform,1024,"(1024, 128)",1,0,0.0,
71,NoCache,1048576,128,float16,zipf,1024,"(1024, 128)",1,0,0.0,
72,NoCache,1048576,128,float16,sequential,1024,"(1024, 128)",1,0,0.0,
73,NoCache,1048576,128,float16,hot_repeat,1024,"(1024, 128)",1,0,0.0,
74,NoCache,1048576,128,float16,edges,1024,"(1024, 128)",1,0,0.0,
75,NoCache,1048576,128,float32,uniform,1024,"(1024, 128)",1,0,0.0,
76,NoCache,1048576,128,float32,zipf,1024,"(1024, 128)",1,0,0.0,
77,NoCache,1048576,128,float32,sequential,1024,"(1024, 128)",1,0,0.0,
78,NoCache,1048576,128,float32,hot_repeat,1024,"(1024, 128)",1,0,0.0,
79,NoCache,1048576,128,float32,edges,1024,"(1024, 128)",1,0,0.0,
80,NoCache,1048576,512,float16,uniform,1024,"(1024, 512)",1,0,0.0,
81,NoCache,1048576,512,float16,zipf,1024,"(1024, 512)",1,0,0.0,
82,NoCache,1048576,512,float16,sequential,1024,"(1024, 512)",1,0,0.0,
83,NoCache,1048576,512,float16,hot_repeat,1024,"(1024, 512)",1,0,0.0,
84,NoCache,1048576,512,float16,edges,1024,"(1024, 512)",1,0,0.0,
85,NoCache,1048576,512,float32,uniform,1024,"(1024, 512)",1,0,0.0,
86,NoCache,1048576,512,float32,zipf,1024,"(1024, 512)",1,0,0.0,
87,NoCache,1048576,512,float32,sequential,1024,"(1024, 512)",1,0,0.0,
88,NoCache,1048576,512,float32,hot_repeat,1024,"(1024, 512)",1,0,0.0,
89,NoCache,1048576,512,float32,edges,1024,"(1024, 512)",1,0,0.0,
90,LinearUVM,4096,64,float16,uniform,1024,"(1024, 64)",1,0,0.0,
91,LinearUVM,4096,64,float16,zipf,1024,"(1024, 64)",1,0,0.0,
92,LinearUVM,4096,64,float16,sequential,1024,"(1024, 64)",1,0,0.0,
93,LinearUVM,4096,64,float16,hot_repeat,1024,"(1024, 64)",1,0,0.0,
94,LinearUVM,4096,64,float16,edges,1024,"(1024, 64)",1,0,0.0,
