NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64, TensorRT)	GB200-NVL72_GB200-186GB_aarch64x72_TRT	NVIDIA	closed	datacenter	N/A	available	18	NVIDIA Grace CPU	2	144				for each 4-GPU node: 1.3TB LPDDR5x	960 GB	for each 4-GPU node: 2 TB SSD, 5 TB CIFS	NVMe SSD, CIFS mounted disk storage	Ethernet(IPoIB)	Ethernet(IPoIB)/Infiniband on switching network	4	NVIDIA GB200		NVLink-C2C	5th-gen NVLink andNVLink Switches		186 GB	HBM3e		Mix of Liquid-cooled (for CPU, GPU, CX7, NVLink Switches) and Air-cooled (for the rest of the components)	NVIDIA GB200 NVL72, 1200W TGP Per GPU	TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0	Ubuntu 24.04	TensorRT 10.14, CUDA 13.1, cuDNN 9.17, Driver 580.67, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0														SSD	NVMe
NVIDIA GB200 NVL72 (4x GB200-186GB_aarch64, TensorRT)	GB200-NVL72_GB200-186GB_aarch64x4_TRT	NVIDIA	closed	datacenter	N/A	available	1	NVIDIA Grace CPU	2	144				for each 4-GPU node: 1.3TB LPDDR5x	960 GB	for each 4-GPU node: 2 TB SSD, 5 TB CIFS	NVMe SSD, CIFS mounted disk storage	Ethernet(IPoIB)	Ethernet(IPoIB)/Infiniband on switching network	4	NVIDIA GB200		NVLink-C2C	5th-gen NVLink andNVLink Switches		186 GB	HBM3e		Mix of Liquid-cooled (for CPU, GPU, CX7, NVLink Switches) and Air-cooled (for the rest of the components)	NVIDIA GB200 NVL72, 1200W TGP Per GPU	TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0	Ubuntu 24.04	TensorRT 10.14, CUDA 13.1, cuDNN 9.17, Driver 580.67, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0														SSD	NVMe
NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64, TensorRT)	GB300-NVL72_GB300-288GB_aarch64x72_TRT	NVIDIA	closed	datacenter	N/A	available	18	NVIDIA Grace CPU	2	144				for each 4-GPU node: 1.3TB LPDDR5x	960 GB	for each 4-GPU node: 2 TB SSD, 5 TB CIFS	NVMe SSD, CIFS mounted disk storage	Ethernet(IPoIB)	Ethernet(IPoIB)/Infiniband on switching network	4	NVIDIA GB300		NVLink-C2C	5th-gen NVLink andNVLink Switches		288 GB	HBM3e		Mix of Liquid-cooled (for CPU, GPU, CX7, NVLink Switches) and Air-cooled (for the rest of the components)	NVIDIA GB300 NVL72, 1400W TGP Per GPU	TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0	Ubuntu 24.04	TensorRT 10.14, CUDA 13.1, cuDNN 9.17, Driver 580.67, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0														SSD	NVMe
NVIDIA GB300 NVL72 (4x GB300-288GB_aarch64, TensorRT)	GB300-NVL72_GB300-288GB_aarch64x4_TRT	NVIDIA	closed	datacenter	N/A	available	1	NVIDIA Grace CPU	2	144				for each 4-GPU node: 1.3TB LPDDR5x	960 GB	for each 4-GPU node: 2 TB SSD, 5 TB CIFS	NVMe SSD, CIFS mounted disk storage	Ethernet(IPoIB)	Ethernet(IPoIB)/Infiniband on switching network	4	NVIDIA GB300		NVLink-C2C	5th-gen NVLink andNVLink Switches		288 GB	HBM3e		Mix of Liquid-cooled (for CPU, GPU, CX7, NVLink Switches) and Air-cooled (for the rest of the components)	NVIDIA GB300 NVL72, 1400W TGP Per GPU	TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0	Ubuntu 24.04	TensorRT 10.14, CUDA 13.1, cuDNN 9.17, Driver 580.67, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0														SSD	NVMe
NVIDIA DGX B200 (8x B200-SXM-180GB, TensorRT)	B200-SXM-180GBx8_TRT	NVIDIA	closed	datacenter	N/A	available	1	Intel(R) Xeon(R) Platinum 8570	2	56				32x 64GB HMCG94AGBRA179N	2 TB	2 TB SSD, 5 TB CIFS	NVMe SSD, CIFS mounted disk storage	Infiniband; Data bandwidth for GPU-PCIe: 504GB/s; PCIe-NIC: 500GB/s	Ethernet/Infiniband on switching network	8	NVIDIA B200-SXM-180GB		PCIe Gen5 x16	18x 5th Gen NVLink, 14.4 TB/s aggregated bandwidth		180 GB	HBM3e		Air-cooled	B200 TGP 1000W	TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0	Ubuntu 24.04	TensorRT 10.14, CUDA 13.1, cuDNN 9.17, Driver 580.67, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0														SSD	NVMe
NVIDIA DGX B300 (8x B300-SXM-270GB, TensorRT)	B300-SXM-270GBx8_TRT	NVIDIA	closed	datacenter	N/A	available	1	Intel(R) Xeon(R) Platinum 8570	2	56				32x 64GB HMCG94AGBRA179N	2 TB	2 TB SSD, 5 TB CIFS	NVMe SSD, CIFS mounted disk storage	Infiniband; Data bandwidth for GPU-PCIe: 504GB/s; PCIe-NIC: 500GB/s	Ethernet/Infiniband on switching network	8	NVIDIA B300-SXM-270GB		PCIe Gen5 x16	18x 5th Gen NVLink, 14.4 TB/s aggregated bandwidth		270 GB	HBM3e		Air-cooled	B300 TGP 1100W	TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0	Ubuntu 24.04	TensorRT 10.14, CUDA 13.1, cuDNN 9.17, Driver 580.67, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0														SSD	NVMe
