Organization,Availability,Division,SystemType,SystemName,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,total_accelerators,Location,framework,operating_system,notes,compliance,errors,version,inferred,has_power,Units,weight_data_types,design_power_watts,PrivateID
"Cisco","available","closed","datacenter","Cisco UCS X210 M8 - X580P PCIe Node (4x NVIDIA RTX PRO 4500 Blackwell-32GB, TensorRT)","X580P-RTX4500-32GBx4_TRT","llama3.1-8b","llama3.1-8b","Offline","9500.93","ROUGE1: 38.7749  ROUGE2: 16.0139  ROUGEL: 24.5292  ROUGELSUM: 35.7037  GEN_LEN: 8178673","1","Intel(R) Xeon(R) 6747P","2","48","NVIDIA RTX PRO 4500 Blackwell","4","4","/work/build/submission-staging/closed/Cisco/results/X580P-RTX4500-32GBx4_TRT/llama3.1-8b/Offline/performance/run_1","TensorRT 10.11, CUDA 12.9","Ubuntu 24.04","","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"Cisco","available","closed","datacenter","Cisco UCS X210 M8 - X580P PCIe Node (4x NVIDIA RTX PRO 4500 Blackwell-32GB, TensorRT)","X580P-RTX4500-32GBx4_TRT","llama3.1-8b","llama3.1-8b","Server","9267.24","ROUGE1: 38.766  ROUGE2: 16.0127  ROUGEL: 24.5211  ROUGELSUM: 35.6861  GEN_LEN: 8178618","1","Intel(R) Xeon(R) 6747P","2","48","NVIDIA RTX PRO 4500 Blackwell","4","4","/work/build/submission-staging/closed/Cisco/results/X580P-RTX4500-32GBx4_TRT/llama3.1-8b/Server/performance/run_1","TensorRT 10.11, CUDA 12.9","Ubuntu 24.04","","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"Cisco","available","closed","datacenter","Cisco UCS X210 M8 - X580P PCIe Node (4x NVIDIA RTX PRO 4500 Blackwell-32GB, TensorRT)","X580P-RTX4500-32GBx4_TRT","whisper","whisper","Offline","3875.5","ACCURACY: 97.8377761070453","1","Intel(R) Xeon(R) 6747P","2","48","NVIDIA RTX PRO 4500 Blackwell","4","4","/work/build/submission-staging/closed/Cisco/results/X580P-RTX4500-32GBx4_TRT/whisper/Offline/performance/run_1","TensorRT 10.11, CUDA 12.9","Ubuntu 24.04","","closed","0","v6.1","0","False","Samples/s","fp16","None",""
